               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11814,            0.046779,                   0,           0.0078721,             0.17647,            0.009921,           0.0022414,             0.11365,            0.030191,                   0,              0.0883,              0.0013,              0.0013
                   1,             0.10498,            0.052425,                   0,            0.016482,             0.38235,            0.019616,            0.005513,            0.099197,            0.027964,                   0,            0.075682,           0.0026822,           0.0026822
                   2,            0.089826,            0.054211,                   0,           0.0093333,             0.82353,            0.032653,           0.0097505,            0.087322,              0.0287,                   0,            0.063046,           0.0040459,           0.0040459
                   3,             0.08249,             0.05817,                   0,             0.12808,             0.47059,             0.16018,            0.028687,            0.075842,            0.028984,                   0,            0.050391,           0.0053911,           0.0053911
                   4,            0.079115,            0.061134,                   0,             0.23286,             0.18774,             0.21405,            0.044205,            0.074115,            0.028469,                   0,            0.037718,           0.0067178,           0.0067178
                   5,            0.077253,              0.0585,                   0,             0.33922,             0.32353,             0.26272,            0.077357,            0.070001,            0.027122,                   0,            0.025026,           0.0080261,           0.0080261
                   6,            0.076065,            0.067224,                   0,             0.21222,             0.29412,             0.13475,            0.042389,            0.068183,            0.026462,                   0,            0.012316,           0.0093159,           0.0093159
                   7,            0.073274,            0.058843,                   0,             0.44109,             0.27888,             0.34833,             0.11921,            0.063824,            0.027615,                   0,            0.009538,            0.009538,            0.009538
                   8,            0.069075,            0.058724,                   0,             0.13849,             0.35294,             0.10332,            0.026327,            0.071265,             0.02627,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.069564,             0.06791,                   0,             0.10088,             0.20588,            0.079597,            0.020527,             0.07195,            0.028498,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.067717,            0.061786,                   0,             0.11987,             0.17647,            0.074446,            0.018692,            0.065949,            0.029819,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.067118,            0.058498,                   0,            0.079247,             0.14706,            0.070044,            0.016216,            0.077906,            0.025573,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.067354,            0.058274,                   0,             0.12737,             0.35294,             0.13509,            0.049553,            0.072297,            0.025216,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.065534,            0.058469,                   0,             0.26568,             0.35294,             0.20198,            0.065662,            0.074052,            0.026592,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.066447,            0.057605,                   0,             0.20688,             0.35294,             0.14027,            0.047548,            0.068841,            0.026536,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.063097,            0.057514,                   0,             0.23952,             0.32353,             0.23714,            0.082299,            0.071712,            0.026937,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.064108,            0.053973,                   0,             0.18224,             0.52941,               0.147,            0.037692,            0.066242,            0.027025,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.061114,            0.058173,                   0,             0.09189,             0.23529,            0.069163,            0.022645,             0.07438,            0.026106,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.062229,            0.063213,                   0,             0.16311,             0.29412,             0.11905,            0.035449,            0.069379,            0.026352,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.061038,            0.056061,                   0,            0.054287,             0.11651,            0.024938,           0.0060996,            0.081421,            0.027058,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.062203,            0.057942,                   0,             0.34566,             0.11765,             0.14639,            0.035247,            0.064384,            0.030233,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.060059,            0.052533,                   0,             0.14955,             0.32353,             0.13519,            0.039629,            0.068827,            0.027301,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.058788,            0.047261,                   0,             0.17831,             0.32353,             0.18757,            0.067436,            0.063201,            0.027842,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.058404,             0.05715,                   0,              0.1754,             0.29412,             0.13872,            0.051585,            0.064906,            0.028516,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.059133,            0.059431,                   0,             0.24178,             0.35294,             0.18691,            0.059846,            0.065051,            0.028701,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.056828,            0.058022,                   0,             0.24228,             0.47059,             0.21319,            0.084226,             0.06329,            0.027682,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.056307,            0.051466,                   0,             0.23527,             0.41176,             0.20904,            0.082018,            0.060151,            0.026958,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.054739,            0.057825,                   0,             0.22049,             0.32353,             0.16821,            0.052278,            0.057174,            0.028328,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.056388,            0.052563,                   0,             0.42941,             0.37644,             0.28238,             0.11094,            0.056922,            0.025564,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.055511,             0.06221,                   0,             0.25456,             0.32353,             0.20795,            0.070706,            0.062571,            0.025432,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.056467,            0.054036,                   0,             0.18416,             0.20588,             0.15255,            0.056271,            0.061227,            0.030146,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.057883,            0.057944,                   0,             0.17158,             0.32353,             0.15952,            0.046343,            0.063943,            0.028188,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.056991,            0.055454,                   0,             0.27588,             0.29412,             0.23426,            0.082492,            0.059772,            0.027482,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.054132,            0.053561,                   0,             0.18849,             0.41176,             0.16125,            0.043463,             0.06303,            0.029683,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.052948,            0.053379,                   0,             0.36443,             0.29412,             0.26767,            0.079764,            0.061017,            0.025246,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.053098,            0.052128,                   0,             0.23781,             0.38235,             0.25578,            0.060275,            0.064032,            0.026296,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.052732,            0.051258,                   0,             0.48679,             0.41176,             0.41758,             0.14815,            0.063382,            0.024775,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.053213,            0.051811,                   0,              0.2119,             0.26471,             0.24297,            0.066085,            0.060992,            0.028708,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.051919,            0.050962,                   0,             0.53655,             0.32353,             0.39471,             0.10725,            0.058384,            0.024784,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.053877,            0.050139,                   0,             0.42967,             0.29412,             0.30648,            0.092927,            0.059527,             0.02598,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.050328,            0.051619,                   0,             0.50842,             0.29412,             0.37916,             0.10188,             0.05935,            0.025133,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.052157,            0.052084,                   0,             0.37085,             0.32353,             0.34975,             0.10672,            0.057782,            0.025516,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.052142,            0.058076,                   0,             0.32405,             0.32353,             0.32697,             0.11202,            0.058862,            0.025698,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.051805,            0.054664,                   0,              0.2873,             0.47059,             0.31516,              0.1222,              0.0589,            0.024857,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.049408,            0.050867,                   0,             0.41562,             0.35294,              0.3598,             0.11728,            0.056954,            0.024738,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.050012,            0.050235,                   0,             0.51654,             0.32353,             0.44688,             0.17378,            0.059405,            0.025277,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.050322,            0.051494,                   0,             0.56054,             0.32353,             0.41142,             0.14083,            0.061182,             0.02613,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.048897,            0.048732,                   0,             0.40478,             0.38009,             0.38662,             0.14634,            0.063545,            0.026148,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.050298,            0.051628,                   0,             0.31693,             0.29412,             0.28765,            0.075634,            0.063656,            0.028743,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.046879,            0.054055,                   0,             0.28305,                 0.5,             0.28179,            0.084176,            0.063467,            0.026733,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.049042,            0.052777,                   0,             0.14907,             0.20588,             0.13288,            0.043027,            0.065084,            0.028162,                   0,            0.006766,            0.006766,            0.006766
                  51,              0.0491,            0.057507,                   0,             0.20706,             0.44118,              0.1779,            0.054332,            0.062871,            0.027302,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.048963,            0.054816,                   0,             0.28527,             0.29412,              0.2663,            0.097365,            0.062006,            0.026247,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.047512,             0.05171,                   0,             0.23089,             0.44118,             0.24616,            0.089231,            0.065643,            0.025764,                   0,            0.006568,            0.006568,            0.006568
                  54,             0.04556,            0.045971,                   0,             0.19404,             0.38954,             0.26291,               0.105,            0.064981,             0.02651,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.047663,             0.04709,                   0,             0.35146,             0.35294,              0.3282,              0.1102,            0.061993,            0.026558,                   0,            0.006436,            0.006436,            0.006436
                  56,             0.04754,            0.053717,                   0,             0.36304,             0.32353,             0.26638,             0.08967,             0.06228,            0.027269,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.047075,              0.0557,                   0,             0.38925,             0.24397,             0.25574,            0.086595,             0.06314,            0.027433,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.047808,            0.050858,                   0,             0.39617,             0.29412,             0.29851,              0.1067,            0.062841,            0.026421,                   0,            0.006238,            0.006238,            0.006238
                  59,             0.04718,            0.047542,                   0,             0.44717,             0.32353,             0.39897,             0.12718,            0.061775,            0.027118,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.047784,            0.049992,                   0,             0.29044,             0.32353,             0.29399,             0.12396,            0.062934,            0.026474,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.045132,            0.052071,                   0,             0.20985,             0.29412,              0.1702,               0.061,            0.065547,            0.027019,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.045119,            0.048284,                   0,             0.18314,             0.36937,             0.16195,             0.04762,            0.066264,             0.03035,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.046458,             0.05151,                   0,             0.19302,             0.47059,             0.18647,            0.072138,            0.066749,            0.027662,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.045303,            0.046541,                   0,              0.5181,             0.44118,             0.40306,             0.14644,            0.066084,            0.026093,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.046507,            0.046817,                   0,             0.53414,             0.38235,             0.38484,             0.16672,            0.066013,            0.025779,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.043993,             0.04752,                   0,             0.43771,             0.41176,              0.3497,             0.12948,            0.065575,            0.026176,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.045433,            0.042219,                   0,             0.45627,             0.32353,             0.38169,             0.13257,            0.065779,            0.026465,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.045239,            0.044604,                   0,             0.35265,             0.44118,             0.37312,             0.13236,            0.065793,            0.025885,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.045228,            0.044271,                   0,             0.43979,             0.32353,             0.38238,             0.11988,            0.066152,            0.025622,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.043722,            0.044289,                   0,             0.69178,             0.32353,             0.43918,             0.12911,            0.066766,             0.02562,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.047156,            0.052764,                   0,              0.2961,                 0.5,             0.29731,            0.099773,            0.065231,            0.026455,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.044808,            0.047426,                   0,             0.65673,             0.38235,             0.46082,             0.17795,            0.062822,             0.02632,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.043379,            0.045861,                   0,             0.48116,             0.35294,              0.4259,              0.1564,            0.062545,            0.027132,                   0,            0.005248,            0.005248,            0.005248
                  74,             0.04265,            0.044759,                   0,             0.49965,             0.41176,             0.42821,             0.14655,              0.0623,            0.027521,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.045267,            0.046091,                   0,              0.5546,             0.38235,             0.42473,             0.12958,            0.063066,            0.026948,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.042008,            0.045676,                   0,             0.45597,             0.27141,             0.36668,             0.11486,            0.063515,            0.026435,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.042968,            0.046436,                   0,             0.37541,             0.32353,             0.35694,             0.10115,            0.062247,            0.026564,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.043614,            0.047112,                   0,              0.4551,             0.35294,             0.38473,             0.11327,            0.062285,            0.026762,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.041459,            0.042548,                   0,             0.83402,             0.32353,             0.45838,             0.15834,            0.062427,            0.026838,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.041722,            0.042767,                   0,             0.43972,             0.32353,             0.34643,             0.10044,            0.063719,            0.025896,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.043703,            0.049005,                   0,             0.32296,             0.47059,             0.32087,            0.091135,            0.064175,            0.025711,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.041009,            0.041332,                   0,             0.59397,             0.29412,             0.38258,             0.13678,            0.063595,            0.025699,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.041625,            0.042596,                   0,             0.43805,             0.47059,             0.40235,             0.13169,            0.062642,            0.026032,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.042528,            0.045177,                   0,              0.3983,             0.47059,             0.41987,             0.13929,            0.063677,            0.025211,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.040408,            0.042651,                   0,             0.37198,             0.43563,             0.36395,             0.10757,            0.062923,            0.026652,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.040453,            0.041584,                   0,             0.33382,             0.44118,             0.37049,            0.098717,            0.062506,            0.027057,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.040278,            0.044818,                   0,             0.26594,             0.55882,             0.25701,            0.080507,            0.062822,            0.029177,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.041107,            0.043113,                   0,             0.32851,             0.55882,             0.32954,             0.10913,            0.062956,            0.027032,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.041311,            0.041146,                   0,              0.3306,             0.52941,             0.32671,             0.11048,            0.063153,            0.027104,                   0,            0.004192,            0.004192,            0.004192
                  90,             0.03981,            0.038119,                   0,             0.38926,             0.46869,             0.38034,             0.11354,            0.063333,            0.026829,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.042559,            0.044796,                   0,             0.30868,             0.48604,             0.30986,             0.07713,            0.064295,            0.026243,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.041411,            0.043206,                   0,             0.31049,             0.47059,             0.29295,            0.083634,            0.065328,              0.0279,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.040394,            0.036443,                   0,             0.45348,             0.47059,             0.33162,            0.087365,            0.065766,            0.027619,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.040096,            0.041463,                   0,             0.44371,             0.35194,             0.33754,            0.087156,            0.064429,            0.028279,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.041588,             0.04375,                   0,             0.36272,             0.44118,             0.31804,            0.088385,            0.064222,            0.027507,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.038838,            0.042041,                   0,             0.50625,             0.23529,             0.25384,            0.071779,            0.065488,             0.02751,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.039389,            0.044429,                   0,             0.28651,             0.47059,              0.2663,            0.069289,            0.065062,             0.02828,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.038518,            0.039034,                   0,             0.30966,             0.44118,             0.29049,            0.076916,            0.065516,            0.027511,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.040684,            0.040527,                   0,             0.29848,             0.38235,             0.30587,            0.082707,            0.064097,            0.027474,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.037562,            0.044904,                   0,             0.45586,             0.32353,             0.30432,            0.091626,            0.064818,            0.027249,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.040075,            0.042361,                   0,             0.27809,             0.44118,             0.25806,            0.068709,            0.065263,            0.029592,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.040569,             0.03875,                   0,             0.37392,             0.40416,             0.29382,            0.092118,            0.064879,            0.028098,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.038184,            0.039084,                   0,             0.32685,             0.38235,             0.30949,             0.10433,            0.064143,            0.027855,                   0,            0.003268,            0.003268,            0.003268
                 104,             0.03853,            0.044291,                   0,             0.31339,             0.51026,              0.3518,                0.11,            0.064277,            0.027061,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.037687,            0.040091,                   0,             0.44483,             0.38235,             0.38147,             0.11794,            0.063856,            0.026585,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.037179,             0.03516,                   0,             0.49983,             0.35271,             0.35937,             0.10864,             0.06478,            0.026117,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.037853,            0.041659,                   0,             0.37463,             0.47582,             0.42321,             0.13997,            0.064581,            0.026581,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.037971,            0.040448,                   0,             0.37713,             0.49866,             0.41539,             0.11862,            0.064957,            0.025795,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.037459,            0.037636,                   0,              0.4902,             0.38235,             0.38597,             0.10385,            0.064653,            0.026696,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.035852,            0.040595,                   0,              0.3578,                 0.5,             0.35023,             0.10666,            0.064184,            0.027519,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.037146,            0.038108,                   0,             0.33952,                 0.5,             0.33726,             0.10377,            0.066073,            0.026498,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.035659,            0.035799,                   0,             0.37271,             0.55921,             0.35152,            0.098163,            0.065346,             0.02683,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.036477,            0.037394,                   0,             0.45222,             0.44118,             0.37507,             0.10112,            0.064385,            0.027076,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.036931,            0.042352,                   0,             0.34929,                 0.5,             0.35029,             0.10137,             0.06461,            0.027469,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.035352,            0.035105,                   0,             0.27546,             0.52941,             0.29161,            0.085516,             0.06623,            0.027776,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.035857,            0.037438,                   0,             0.34544,              0.3571,             0.25195,            0.063947,             0.06733,            0.027919,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.037143,            0.040558,                   0,             0.37963,             0.41176,             0.30116,            0.088665,            0.065732,            0.028528,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.035373,            0.042112,                   0,             0.34297,             0.38235,             0.29062,            0.084056,            0.065871,            0.027958,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.035857,            0.039189,                   0,             0.42016,             0.44118,             0.33543,             0.11019,            0.065146,            0.027708,                   0,            0.002212,            0.002212,            0.002212
                 120,             0.03667,            0.035474,                   0,             0.43776,                 0.5,             0.38535,             0.11492,             0.06589,            0.027529,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.034149,            0.036421,                   0,             0.43116,                 0.5,             0.36986,              0.1262,             0.06578,            0.027916,                   0,             0.00208,             0.00208,             0.00208
                 122,             0.03519,            0.037199,                   0,             0.41949,                 0.5,              0.3495,             0.12205,            0.066277,            0.027634,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.034469,            0.039417,                   0,             0.47399,             0.41176,             0.35555,             0.12697,            0.065676,             0.02811,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.035504,            0.038143,                   0,             0.49822,             0.47059,             0.37506,             0.11552,            0.065998,            0.028379,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.036347,            0.038805,                   0,             0.39104,             0.41176,             0.36782,              0.1155,            0.065359,            0.028248,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.035203,            0.040724,                   0,             0.46362,             0.41176,             0.36714,             0.13172,            0.064959,            0.028231,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.036704,            0.036871,                   0,             0.47534,              0.3733,             0.40065,             0.13026,            0.064572,            0.027195,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.034056,            0.039196,                   0,             0.40456,             0.52941,             0.39368,             0.12629,            0.064898,            0.026552,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.033546,            0.038579,                   0,             0.40556,                 0.5,             0.38138,             0.12278,            0.064928,            0.026915,                   0,            0.001552,            0.001552,            0.001552
                 130,              0.0331,            0.037211,                   0,             0.43136,                 0.5,             0.39429,             0.12163,            0.064673,            0.027002,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.033198,            0.037771,                   0,             0.43866,             0.44118,             0.37306,             0.12094,            0.064807,            0.026967,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.033944,            0.035343,                   0,             0.41805,             0.54948,             0.40366,             0.12072,            0.064238,            0.027149,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.033703,            0.039972,                   0,             0.43205,             0.49239,             0.39784,             0.11406,            0.063776,            0.027413,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.034411,            0.039056,                   0,             0.43302,             0.52941,              0.3981,             0.11053,            0.064017,            0.027353,                   0,            0.001222,            0.001222,            0.001222
                 135,             0.03513,            0.036996,                   0,             0.48055,                 0.5,             0.37948,             0.11817,            0.064839,            0.027429,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.032828,            0.032645,                   0,             0.46864,                 0.5,             0.38212,             0.11587,            0.065061,            0.027116,                   0,             0.00109,             0.00109,             0.00109
                 137,             0.03342,            0.030539,                   0,             0.46558,             0.48705,             0.38224,             0.11994,            0.065018,            0.026946,                   0,            0.001024,            0.001024,            0.001024
                 138,             0.03449,            0.040643,                   0,             0.45563,              0.4678,             0.39089,             0.12813,            0.064424,             0.02695,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.032092,            0.036706,                   0,              0.4274,             0.35294,             0.37914,             0.11315,            0.064912,             0.02708,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.036214,            0.037243,                   0,             0.42318,             0.41176,             0.34005,              0.1115,            0.065336,            0.027192,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.031912,            0.036813,                   0,               0.379,             0.41176,             0.35618,             0.10971,            0.065099,            0.027171,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.033755,            0.037389,                   0,             0.35733,             0.45806,             0.35017,             0.11679,            0.064888,             0.02736,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.034498,            0.038542,                   0,             0.29697,             0.47059,             0.33764,             0.10885,            0.064939,            0.027649,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.033175,            0.032589,                   0,             0.32682,             0.58824,             0.33907,             0.10952,            0.065352,            0.027497,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.034749,            0.033116,                   0,             0.38238,             0.44118,              0.3575,             0.11215,            0.065418,            0.027385,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.032627,            0.037588,                   0,             0.33438,             0.47059,             0.36636,             0.11575,            0.065489,            0.027357,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.033376,            0.037112,                   0,             0.38641,             0.62987,             0.37871,              0.1215,            0.065541,             0.02747,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.031949,            0.033258,                   0,             0.36713,             0.61428,             0.37559,             0.12185,            0.064914,            0.027712,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.033613,            0.039595,                   0,             0.37094,             0.55882,              0.3651,             0.13296,            0.065061,            0.027571,                   0,            0.000232,            0.000232,            0.000232
